ID,Title,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
100,A High Q&S RTSP Server’s Architecture and Implementation Based On Android,"Zhang, Yang; Hong, Zhiguo; Lv, Ning",Atlantis Press,conferencePaper,2014,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
101,Technical Comparison Between Android And IOS With Respect to Their Architecture,"Ahmed, B; Awais, M",,journalArticle,2012,Q,o,,,,,,,,,,x,,,Not available
102,"The third Geological Team of Guangdong Geological Bureau; School of Architectural and Surverying&Mapping Engineering, Jiangxi University of Science and Technology;; Realization of the field data collection and navigation system for internship based on ArcGIS for Android","ZHANG, Hai-rui; Xue-rao, WU; Xiao-ji, LAN",,journalArticle,2015,Q,o,,,,,,,,,,x,,,Not available
103,Comparison of Android OS and Minix internal architecture,"Motlhabi, Michael B",,book,,Q,o,o,,,,,x,,,,,,,It's a book
104,Android Architecture and Binder,"Pandiyan, Dhinakaran; Paranjape, Saketh",,book,2010,Q,o,o,,,,,x,,,,,,,It's a book
105,INSTALLING THE ANDROID* SDK FOR IN℡® ARCHITECTURE.,"Cohen, Ryan",,journalArticle,2014,Q,o,,,,,,,,,,x,,,Not available
106,Android Application Development Processes and Tool Chains for Intel® Architecture,"Cohen, Ryan; Wang, Tao",Springer,bookSection,2014,Q,o,o,,,,,x,,,,,,,It's a book
107,An Architecture for Trusted Computing for Android Operating Systems,"Liu, Weiran; Liu, Jianwei",,journalArticle,2013,Q,o,,,,,,,,,,x,,,Not available
108,Design of Information Interaction System Based on Android and JAVA EE architecture,"Liu, Hongxia",,conferencePaper,2015,Q,o,o,,x,,,,,,,,,,Not focused on Android
109,Android Architecture For Beginners,"Romanovsky, Leon",,journalArticle,2013,Q,o,o,,,,,x,,,,,,,Slides/Tutorial
110,Identifying Architectural Technical Debt in Android Applications through Compliance Checking,"Verdecchia, Roberto",,journalArticle,2018,Q,o,,,,,,,,,x,,,,Duplication of ID:99
111,"Platform Architecture Portfolio: Comparisn of 3 Platforms (Android, iOS, mobile Ubuntu).","Häring, Marlo",,conferencePaper,2013,Q,o,,,x,,,,,,,,,,Not focused on Android
112,Data driven architecture based automated test generation for Android mobile,"Anbunathan, R; Basu, Anirban",IEEE,conferencePaper,2015,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
113,Proposed Architecture and the Development of Nfcafe: an Nfc-based Android Mobile Applications for Trading Transaction System in Cafetaria,"Nadra, Fikrul Arif; Kurniawan, Heri; Hilman, Muhammad Hafizhuddin",,journalArticle,2013,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
114,Implementation of Mobile-Cloudlet-Cloud Architecture for Face Recognition in Cloud Computing using Android Mobile,"Bhatnagar, Priya; others",,journalArticle,2013,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
115,Security Deficiencies in the architecture and overview of Android and iOS mobile operating systems,"Jasek, Roman",Academic Conferences Limited,conferencePaper,2015,Q,o,,,x,,,,,,,,,,Not focused on Android
116,"A tablet-controlled, mesh-network security system: An architecture for a secure, mesh network of security and automation systems using arduino and zigbee controllers and an android tablet application","Lartigue, Jonathan W; McKinney, Christohper; Phelps, Richard; Rhodes, Richard; Rice, Andrew D; Ryder, Alexander",ACM,conferencePaper,2014,Q,o,o,,x,,,,,,,,,,Not focused on Android
117,Multi-architecture profiler for Android,"Sartor, Anderson Luiz; Beck, Antonio Carlos Schneider",,journalArticle,2017,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
118,Introduction to Android application architecture,"MacLean, Dave; Komatineni, Satya; Allen, Grant",Springer,bookSection,2015,Q,o,,,,,,x,,,,,,,It's a book
119,CREATING A MOBILE APPLICATION ON ANDROID PLATFORM FOR AN E-LEARNING SYSTEM OF RESOURCE MANAGEMENT FOR A HISTORIC SITE WITH ARCHAEOLOGICAL AND ARCHITECTURAL COMPONENTS.,"Rădescu, Radu; Pavel, Victor",,journalArticle,2016,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
120,Comparison of learning software architecture by developing social applications versus games on the android platform,"Wu, Bian; Wang, Alf Inge",,journalArticle,2012,Q,o,o,,x,x,,,,,,,,,
121,A System Architecture for Industrial Application based on the Android Mobile OS,"Sbaa, A; El Bejjet, R; Medromi, H",,journalArticle,2011,Q,o,,,,,,,,,,x,,,Not available
122,A Hybrid Software Architecture for Rich Media Applications on Android Phones,"Watanabe, Koji; Yamakami, Toshihiko; Ishiguro, Kunihiro",IEEE,conferencePaper,2011,Q,o,o,,x,x,,,,,,,,,
123,A new humanoid architecture for social interaction between human and a robot expressing human-like emotions using an android mobile device as interface,"Chella, Antonio; Sorbello, Rosario; Pilato, Giovanni; Vassallo, Giorgio; Giardina, Marcello",Springer,bookSection,2013,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
124,Java with Android updates: Android architecture,"Mahanti, S","Blogspot, http://java4freshers. blogspot. com/2012/02/android-architecture. html, accessed December",book,2012,Q,o,,,,,,,,,,x,,,Not available
125,Android system architecture,"KEBOMIX, BLOG","Kebomix Blog, http://kebomix. wordpress. com/2010/08/17/android-system-architecture/, accessed September",book,2014,Q,o,,,,,,,,,,x,,,Not available
126,A detailed view of the first android client application for the ilab shared architecture,"Deaky, Bogdan-Alexandru; Zutin, Danilo Garbi; Bailey, Philip H",IEEE,conferencePaper,2012,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
